Nama,MQ2,MQ4,MQ5,MQ6
Kapal Api,1260,544,1838,206
Kapal Api,1253,543,1833,213
Kapal Api,1265,541,1828,202
Kapal Api,1260,551,1831,206
Kapal Api,1265,548,1829,205
Kapal Api,1260,541,1831,205
Kapal Api,1261,543,1832,207
Kapal Api,1257,537,1835,204
Kapal Api,1263,549,1833,212
Kapal Api,1258,546,1835,211
Kapal Api,1258,548,1830,203
Kapal Api,1262,544,1829,207
Kapal Api,1258,530,1830,211
Kapal Api,1268,547,1831,210
Kapal Api,1264,543,1829,204
Kapal Api,1272,541,1829,209
Kapal Api,1273,541,1837,202
Kapal Api,1271,544,1830,206
Kapal Api,1270,542,1824,204
Kapal Api,1267,542,1821,205
Kapal Api,1267,546,1827,208
Kapal Api,1281,540,1829,209
Kapal Api,1291,551,1840,211
Kapal Api,1313,549,1845,209
Kapal Api,1318,555,1846,212
Kapal Api,1328,549,1851,210
Kapal Api,1340,553,1860,205
Kapal Api,1371,556,1862,209
Kapal Api,1394,555,1864,205
Kapal Api,1411,556,1875,204
Kapal Api,1427,553,1866,203
Kapal Api,1455,551,1870,206
Kapal Api,1469,551,1876,204
Kapal Api,1487,552,1875,201
Kapal Api,1508,547,1878,206
Kapal Api,1525,550,1879,203
Kapal Api,1533,547,1877,204
Kapal Api,1550,547,1878,202
Kapal Api,1563,545,1873,197
Kapal Api,1574,544,1877,201
Kapal Api,1587,543,1875,194
Kapal Api,1593,543,1880,201
Kapal Api,1605,544,1879,202
Kapal Api,1615,540,1875,196
Kapal Api,1616,539,1874,190
Kapal Api,1629,532,1873,196
Kapal Api,1634,535,1871,199
Kapal Api,1643,536,1868,194
Kapal Api,1647,534,1870,190
Kapal Api,1654,531,1864,192
Kapal Api,1658,526,1867,190
Kapal Api,1659,524,1858,190
Kapal Api,1666,527,1861,187
Kapal Api,1668,527,1858,191
Kapal Api,1670,527,1857,189
Kapal Api,1676,522,1851,185
Kapal Api,1679,520,1851,179
Kapal Api,1675,521,1846,186
Kapal Api,1684,517,1842,190
Kapal Api,1689,521,1839,189
Kapal Api,1693,514,1837,187
Kapal Api,1694,506,1832,181
Kapal Api,1693,509,1832,184
Kapal Api,1696,511,1825,182
Kapal Api,1704,506,1826,182
Kapal Api,1701,504,1823,182
Kapal Api,1702,505,1822,180
Kapal Api,1707,500,1820,181
Kapal Api,1700,499,1817,179
Kapal Api,1703,498,1813,177
Kapal Api,1707,495,1810,177
Kapal Api,1711,495,1807,177
Kapal Api,1713,492,1801,175
Kapal Api,1711,493,1803,174
Kapal Api,1714,486,1803,177
Kapal Api,1711,488,1791,173
Kapal Api,1716,486,1792,172
Kapal Api,1715,484,1791,173
Kapal Api,1715,484,1786,172
Kapal Api,1712,481,1789,176
